trimmed_name,video_base,camera,t_start_sec_x,t_end_sec_x,activity_label
trimmed_columpios_cam4-2024-10-03_12_14_21_00-00-06_to_00-00-10_103.mp4,columpios_cam4-2024-10-03 12:14:21.mp4,columpios_cam4,5.75,9.75,Transit
trimmed_columpios_cam4-2024-11-14_16_49_54_00-00-07_to_00-00-11_106.mp4,columpios_cam4-2024-11-14 16:49:54.mp4,columpios_cam4,7.333,11.333,Transit
trimmed_columpios_cam4-2024-11-13_22_09_32_00-00-09_to_00-00-13_107.mp4,columpios_cam4-2024-11-13 22:09:32.mp4,columpios_cam4,9.083,13.083,Transit
trimmed_columpioscam2-2024-11-16_20_36_31_00-00-09_to_00-00-13_108.mp4,columpioscam2-2024-11-16 20:36:31.mp4,columpioscam2,8.833,12.833,Play_Object_Normal
trimmed_columpioscam2-2024-11-16_20_36_31_00-00-09_to_00-00-13_108.mp4,columpioscam2-2024-11-16 20:36:31.mp4,columpioscam2,8.833,12.833,Play_Object_Normal
trimmed_columpioscam2-2024-12-17_11-04-00_00-00-06_to_00-00-10_110.mp4,columpioscam2-2024-12-17_11-04-00.mp4,columpioscam2,5.583,9.583,Social_People
trimmed_columpioscam2-2024-12-17_11-04-00_00-00-06_to_00-00-10_110.mp4,columpioscam2-2024-12-17_11-04-00.mp4,columpioscam2,5.583,9.583,Social_People
trimmed_columpioscam1-2024-11-12_19_41_30_00-00-07_to_00-00-11_111.mp4,columpioscam1-2024-11-12 19:41:30.mp4,columpioscam1,7.0,11.0,Transit
trimmed_columpioscam2-2024-10-03_11_41_48_00-00-12_to_00-00-16_112.mp4,columpioscam2-2024-10-03 11:41:48.mp4,columpioscam2,11.917,15.917,Transit
trimmed_columpioscam1-2024-09-25_23_04_56_00-00-10_to_00-00-14_113.mp4,columpioscam1-2024-09-25 23:04:56.mp4,columpioscam1,9.5,13.5,Transit
trimmed_columpioscam1-2024-09-25_23_04_56_00-00-10_to_00-00-14_113.mp4,columpioscam1-2024-09-25 23:04:56.mp4,columpioscam1,9.5,13.5,Transit
trimmed_columpioscam3-2024-09-25_21_31_02_00-00-07_to_00-00-11_115.mp4,columpioscam3-2024-09-25 21:31:02.mp4,columpioscam3,7.167,11.167,Social_People
trimmed_columpioscam3-2025-01-06_12-07-46_00-00-04_to_00-00-08_120.mp4,columpioscam3-2025-01-06_12-07-46.mp4,columpioscam3,4.417,8.417,Transit
trimmed_columpioscam3-2025-01-06_12-07-46_00-00-04_to_00-00-08_120.mp4,columpioscam3-2025-01-06_12-07-46.mp4,columpioscam3,4.417,8.417,Transit
trimmed_columpioscam3-2024-11-17_11_48_09_00-00-05_to_00-00-09_124.mp4,columpioscam3-2024-11-17 11:48:09.mp4,columpioscam3,4.917,8.917,Transit
trimmed_columpioscam3-2024-11-13_20_00_35_00-00-19_to_00-00-23_125.mp4,columpioscam3-2024-11-13 20:00:35.mp4,columpioscam3,19.0,23.0,Transit
trimmed_columpioscam3-2024-11-13_20_00_35_00-00-19_to_00-00-23_125.mp4,columpioscam3-2024-11-13 20:00:35.mp4,columpioscam3,19.0,23.0,Transit
trimmed_columpioscam1-2024-11-17_17_59_08_00-00-08_to_00-00-12_126.mp4,columpioscam1-2024-11-17 17:59:08.mp4,columpioscam1,8.25,12.25,No_Activity
trimmed_columpioscam1-2024-11-17_17_59_08_00-00-08_to_00-00-12_126.mp4,columpioscam1-2024-11-17 17:59:08.mp4,columpioscam1,8.25,12.25,No_Activity
trimmed_columpioscam3-2024-09-25_18_20_39_00-00-09_to_00-00-13_127.mp4,columpioscam3-2024-09-25 18:20:39.mp4,columpioscam3,8.667,12.667,Social_People
trimmed_columpios_cam4-2025-01-06_10-05-31_00-00-08_to_00-00-12_128.mp4,columpios_cam4-2025-01-06_10-05-31.mp4,columpios_cam4,7.5,11.5,Transit
trimmed_columpioscam3-2025-01-06_09-20-06_00-00-05_to_00-00-09_129.mp4,columpioscam3-2025-01-06_09-20-06.mp4,columpioscam3,4.667,8.667,Transit
trimmed_columpioscam1-2024-11-14_09_14_22_00-00-09_to_00-00-13_130.mp4,columpioscam1-2024-11-14 09:14:22.mp4,columpioscam1,8.833,12.833,Transit
trimmed_columpioscam1-2024-10-22_18_52_16_00-00-06_to_00-00-10_131.mp4,columpioscam1-2024-10-22 18:52:16.mp4,columpioscam1,6.083,10.083,Play_Object_Normal
trimmed_columpios_cam4-2024-09-26_14_40_50_00-00-06_to_00-00-10_134.mp4,columpios_cam4-2024-09-26 14:40:50.mp4,columpios_cam4,6.417,10.417,Transit
trimmed_columpioscam1-2024-11-21_20_29_53_00-00-15_to_00-00-19_136.mp4,columpioscam1-2024-11-21 20:29:53.mp4,columpioscam1,15.083,19.083,Social_People
trimmed_columpioscam2-2024-12-14_20-54-00_00-00-07_to_00-00-11_137.mp4,columpioscam2-2024-12-14_20-54-00.mp4,columpioscam2,6.75,10.75,Social_People
trimmed_columpioscam3-2024-11-14_21_15_50_00-00-10_to_00-00-14_138.mp4,columpioscam3-2024-11-14 21:15:50.mp4,columpioscam3,9.917,13.917,Transit
trimmed_columpioscam1-2024-11-21_20_39_14_00-00-04_to_00-00-08_139.mp4,columpioscam1-2024-11-21 20:39:14.mp4,columpioscam1,4.25,8.25,Transit
trimmed_columpioscam1-2024-11-21_20_39_14_00-00-04_to_00-00-08_139.mp4,columpioscam1-2024-11-21 20:39:14.mp4,columpioscam1,4.25,8.25,Transit
trimmed_columpioscam3-2024-10-22_11_57_59_00-00-07_to_00-00-11_140.mp4,columpioscam3-2024-10-22 11:57:59.mp4,columpioscam3,7.333,11.333,Transit
trimmed_columpioscam2-2024-12-17_18_59_48_00-00-24_to_00-00-28_142.mp4,columpioscam2-2024-12-17 18:59:48.mp4,columpioscam2,24.25,28.25,Social_People
trimmed_columpioscam2-2024-12-17_18_59_48_00-00-24_to_00-00-28_142.mp4,columpioscam2-2024-12-17 18:59:48.mp4,columpioscam2,24.25,28.25,Social_People
trimmed_columpioscam3-2024-12-17_07-11-00_00-00-11_to_00-00-15_145.mp4,columpioscam3-2024-12-17_07-11-00.mp4,columpioscam3,10.75,14.75,Transit
trimmed_columpioscam3-2024-12-17_07-11-00_00-00-11_to_00-00-15_145.mp4,columpioscam3-2024-12-17_07-11-00.mp4,columpioscam3,10.75,14.75,Transit
trimmed_columpioscam2-2024-10-23_17_00_13_00-00-08_to_00-00-12_146.mp4,columpioscam2-2024-10-23 17:00:13.mp4,columpioscam2,7.75,11.75,Play_Object_Normal
trimmed_columpioscam3-2024-11-14_23_02_00_00-00-06_to_00-00-10_147.mp4,columpioscam3-2024-11-14 23:02:00.mp4,columpioscam3,5.583,9.583,Transit
trimmed_columpioscam2-2024-12-17_10-52-00_00-00-09_to_00-00-13_148.mp4,columpioscam2-2024-12-17_10-52-00.mp4,columpioscam2,8.583,12.583,Play_Object_Normal
trimmed_columpios_tierra-2024-09-25_21_09_31_00-00-08_to_00-00-12_150.mp4,columpios_tierra-2024-09-25 21:09:31.mp4,nan,8.083,12.083,Social_People
trimmed_columpioscam1-2024-11-20_19_06_34_00-00-05_to_00-00-09_151.mp4,columpioscam1-2024-11-20 19:06:34.mp4,columpioscam1,5.25,9.25,Play_Object_Normal
trimmed_columpios_cam4-2024-12-09_21-42-00_00-00-08_to_00-00-12_152.mp4,columpios_cam4-2024-12-09_21-42-00.mp4,columpios_cam4,7.833,11.833,Transit
trimmed_columpios_cam4-2024-12-09_21-42-00_00-00-08_to_00-00-12_152.mp4,columpios_cam4-2024-12-09_21-42-00.mp4,columpios_cam4,7.833,11.833,Transit
trimmed_columpioscam2-2024-12-17_10-48-00_00-00-04_to_00-00-08_154.mp4,columpioscam2-2024-12-17_10-48-00.mp4,columpioscam2,4.0,8.0,Play_Object_Normal
trimmed_columpioscam2-2024-12-14_22-20-00_00-00-05_to_00-00-09_155.mp4,columpioscam2-2024-12-14_22-20-00.mp4,columpioscam2,5.417,9.417,Play_Object_Normal
trimmed_columpioscam2-2024-12-14_22-20-00_00-00-05_to_00-00-09_155.mp4,columpioscam2-2024-12-14_22-20-00.mp4,columpioscam2,5.417,9.417,Play_Object_Normal
trimmed_columpioscam3-2024-11-13_20_00_35_00-00-15_to_00-00-19_157.mp4,columpioscam3-2024-11-13 20:00:35.mp4,columpioscam3,15.083,19.083,Transit
trimmed_columpioscam3-2024-11-13_20_00_35_00-00-15_to_00-00-19_157.mp4,columpioscam3-2024-11-13 20:00:35.mp4,columpioscam3,15.083,19.083,Transit
trimmed_columpioscam1-2024-11-17_17_53_34_00-00-20_to_00-00-24_158.mp4,columpioscam1-2024-11-17 17:53:34.mp4,columpioscam1,19.5,23.5,Social_People
trimmed_columpioscam1-2024-11-17_18_18_17_00-00-15_to_00-00-19_159.mp4,columpioscam1-2024-11-17 18:18:17.mp4,columpioscam1,14.667,18.667,Play_Object_Normal
trimmed_columpioscam1-2024-11-17_18_18_17_00-00-15_to_00-00-19_159.mp4,columpioscam1-2024-11-17 18:18:17.mp4,columpioscam1,14.667,18.667,Play_Object_Normal
trimmed_columpioscam1-2024-11-17_17_45_53_00-00-04_to_00-00-08_160.mp4,columpioscam1-2024-11-17 17:45:53.mp4,columpioscam1,4.25,8.25,Social_People
trimmed_columpioscam3-2024-09-25_07_15_03_00-00-05_to_00-00-09_161.mp4,columpioscam3-2024-09-25 07:15:03.mp4,columpioscam3,5.417,9.417,Adult_Assisting
trimmed_columpioscam3-2024-09-25_07_15_03_00-00-05_to_00-00-09_161.mp4,columpioscam3-2024-09-25 07:15:03.mp4,columpioscam3,5.417,9.417,Adult_Assisting
trimmed_columpioscam3-2024-10-22_13_24_51_00-00-05_to_00-00-09_163.mp4,columpioscam3-2024-10-22 13:24:51.mp4,columpioscam3,5.25,9.25,Transit
trimmed_columpioscam3-2024-10-22_13_24_51_00-00-05_to_00-00-09_163.mp4,columpioscam3-2024-10-22 13:24:51.mp4,columpioscam3,5.25,9.25,Transit
trimmed_columpioscam1-2024-11-12_20_46_35_00-00-26_to_00-00-30_164.mp4,columpioscam1-2024-11-12 20:46:35.mp4,columpioscam1,25.583,29.583,Play_Object_Normal
trimmed_columpioscam2-2024-12-09_20-30-00_00-00-05_to_00-00-09_165.mp4,columpioscam2-2024-12-09_20-30-00.mp4,columpioscam2,5.417,9.417,Play_Object_Normal
trimmed_columpioscam2-2024-12-17_10-24-00_00-00-04_to_00-00-08_167.mp4,columpioscam2-2024-12-17_10-24-00.mp4,columpioscam2,4.0,8.0,Adult_Assisting
trimmed_columpios_cam4-2024-11-20_18_02_53_00-00-08_to_00-00-12_168.mp4,columpios_cam4-2024-11-20 18:02:53.mp4,columpios_cam4,8.333,12.333,Transit
trimmed_columpioscam3-2024-09-25_21_07_04_00-00-07_to_00-00-11_170.mp4,columpioscam3-2024-09-25 21:07:04.mp4,columpioscam3,7.0,11.0,Social_People
trimmed_columpioscam3-2024-09-25_21_07_04_00-00-07_to_00-00-11_170.mp4,columpioscam3-2024-09-25 21:07:04.mp4,columpioscam3,7.0,11.0,Social_People
trimmed_columpioscam2-2024-12-17_10-09-00_00-00-05_to_00-00-09_171.mp4,columpioscam2-2024-12-17_10-09-00.mp4,columpioscam2,5.0,9.0,Play_Object_Normal
trimmed_columpios_cam4-2024-11-15_07_17_30_00-00-06_to_00-00-10_173.mp4,columpios_cam4-2024-11-15 07:17:30.mp4,columpios_cam4,6.25,10.25,Transit
trimmed_columpioscam2-2024-11-21_17_26_43_00-00-10_to_00-00-14_174.mp4,columpioscam2-2024-11-21 17:26:43.mp4,columpioscam2,9.75,13.75,Play_Object_Normal
trimmed_columpioscam2-2024-11-17_22_20_06_00-00-10_to_00-00-14_175.mp4,columpioscam2-2024-11-17 22:20:06.mp4,columpioscam2,10.25,14.25,Adult_Assisting
trimmed_columpioscam2-2024-11-17_22_20_06_00-00-10_to_00-00-14_175.mp4,columpioscam2-2024-11-17 22:20:06.mp4,columpioscam2,10.25,14.25,Adult_Assisting
trimmed_columpioscam1-2024-11-17_17_55_19_00-00-04_to_00-00-08_176.mp4,columpioscam1-2024-11-17 17:55:19.mp4,columpioscam1,4.167,8.167,Social_People
trimmed_columpioscam1-2024-11-17_17_55_19_00-00-04_to_00-00-08_176.mp4,columpioscam1-2024-11-17 17:55:19.mp4,columpioscam1,4.167,8.167,Social_People
trimmed_columpios_cam4-2024-11-14_11_13_13_00-00-06_to_00-00-10_177.mp4,columpios_cam4-2024-11-14 11:13:13.mp4,columpios_cam4,5.917,9.917,Transit
trimmed_columpios_cam4-2024-11-14_11_13_13_00-00-06_to_00-00-10_177.mp4,columpios_cam4-2024-11-14 11:13:13.mp4,columpios_cam4,5.917,9.917,Transit
trimmed_columpios_cam4-2024-10-03_11_43_21_00-00-13_to_00-00-17_178.mp4,columpios_cam4-2024-10-03 11:43:21.mp4,columpios_cam4,13.25,17.25,Transit
trimmed_columpioscam2-2024-11-21_17_16_04_00-00-08_to_00-00-12_179.mp4,columpioscam2-2024-11-21 17:16:04.mp4,columpioscam2,8.083,12.083,Adult_Assisting
trimmed_columpioscam2-2024-11-21_17_16_04_00-00-08_to_00-00-12_179.mp4,columpioscam2-2024-11-21 17:16:04.mp4,columpioscam2,8.083,12.083,Adult_Assisting
trimmed_columpios_cam4-2024-11-21_20_18_24_00-00-08_to_00-00-12_181.mp4,columpios_cam4-2024-11-21 20:18:24.mp4,columpios_cam4,8.5,12.5,Transit
trimmed_columpios_cam4-2024-11-21_20_18_24_00-00-08_to_00-00-12_181.mp4,columpios_cam4-2024-11-21 20:18:24.mp4,columpios_cam4,8.5,12.5,Transit
trimmed_columpioscam2-2024-12-14_22-21-00_00-00-04_to_00-00-08_185.mp4,columpioscam2-2024-12-14_22-21-00.mp4,columpioscam2,3.917,7.917,Play_Object_Normal
trimmed_columpioscam2-2024-12-14_22-21-00_00-00-04_to_00-00-08_185.mp4,columpioscam2-2024-12-14_22-21-00.mp4,columpioscam2,3.917,7.917,Play_Object_Normal
trimmed_columpioscam1-2025-01-07_20-41-17_00-00-09_to_00-00-13_186.mp4,columpioscam1-2025-01-07_20-41-17.mp4,columpioscam1,9.417,13.417,Transit
trimmed_columpioscam2-2024-11-21_17_25_02_00-00-10_to_00-00-14_189.mp4,columpioscam2-2024-11-21 17:25:02.mp4,columpioscam2,9.667,13.667,Play_Object_Normal
trimmed_columpioscam2-2024-11-21_17_25_02_00-00-10_to_00-00-14_189.mp4,columpioscam2-2024-11-21 17:25:02.mp4,columpioscam2,9.667,13.667,Play_Object_Normal
trimmed_columpioscam2-2024-12-17_20_27_17_00-00-11_to_00-00-15_190.mp4,columpioscam2-2024-12-17 20:27:17.mp4,columpioscam2,10.667,14.667,Transit
trimmed_columpioscam2-2024-12-17_20_27_17_00-00-11_to_00-00-15_190.mp4,columpioscam2-2024-12-17 20:27:17.mp4,columpioscam2,10.667,14.667,Transit
trimmed_columpioscam1-2024-11-17_19_27_42_00-00-06_to_00-00-10_191.mp4,columpioscam1-2024-11-17 19:27:42.mp4,columpioscam1,5.667,9.667,Transit
trimmed_hundidocam2-2024-10-24_19_12_21_00-00-08_to_00-00-12_193.mp4,hundidocam2-2024-10-24 19:12:21.mp4,hundidocam2,8.5,12.5,Social_People
trimmed_columpioscam3-2024-10-22_15_34_26_00-00-05_to_00-00-09_195.mp4,columpioscam3-2024-10-22 15:34:26.mp4,columpioscam3,4.833,8.833,Transit
trimmed_columpioscam3-2024-10-22_15_34_26_00-00-05_to_00-00-09_195.mp4,columpioscam3-2024-10-22 15:34:26.mp4,columpioscam3,4.833,8.833,Transit
trimmed_columpioscam3-2025-01-06_14-17-21_00-00-10_to_00-00-14_196.mp4,columpioscam3-2025-01-06_14-17-21.mp4,columpioscam3,10.167,14.167,Adult_Assisting
trimmed_columpios_cam4-2024-11-14_08_09_40_00-00-06_to_00-00-10_197.mp4,columpios_cam4-2024-11-14 08:09:40.mp4,columpios_cam4,5.5,9.5,Transit
trimmed_columpios_cam4-2024-11-15_08_17_20_00-00-08_to_00-00-12_198.mp4,columpios_cam4-2024-11-15 08:17:20.mp4,columpios_cam4,7.833,11.833,Transit
trimmed_columpios_cam4-2024-11-15_08_17_20_00-00-08_to_00-00-12_198.mp4,columpios_cam4-2024-11-15 08:17:20.mp4,columpios_cam4,7.833,11.833,Transit
trimmed_columpioscam3-2024-09-25_11_14_23_00-00-11_to_00-00-15_199.mp4,columpioscam3-2024-09-25 11:14:23.mp4,columpioscam3,10.583,14.583,Transit
trimmed_columpioscam2-2024-11-21_17_26_18_00-00-04_to_00-00-08_202.mp4,columpioscam2-2024-11-21 17:26:18.mp4,columpioscam2,3.917,7.917,Adult_Assisting
trimmed_hundidocam1-2024-10-03_19_04_32_00-00-19_to_00-00-23_203.mp4,hundidocam1-2024-10-03 19:04:32.mp4,hundidocam1,18.583,22.583,Transit
trimmed_hundidocam1-2024-10-03_19_04_32_00-00-19_to_00-00-23_203.mp4,hundidocam1-2024-10-03 19:04:32.mp4,hundidocam1,18.583,22.583,Transit
trimmed_columpioscam1-2024-11-17_16_55_19_00-00-11_to_00-00-15_204.mp4,columpioscam1-2024-11-17 16:55:19.mp4,columpioscam1,11.0,15.0,Social_People
trimmed_columpioscam1-2024-11-17_16_55_19_00-00-11_to_00-00-15_204.mp4,columpioscam1-2024-11-17 16:55:19.mp4,columpioscam1,11.0,15.0,Social_People
trimmed_columpios_cam4-2025-01-06_09-18-41_00-00-05_to_00-00-09_205.mp4,columpios_cam4-2025-01-06_09-18-41.mp4,columpios_cam4,4.833,8.833,Transit
trimmed_columpioscam2-2024-11-21_19_30_26_00-00-08_to_00-00-12_206.mp4,columpioscam2-2024-11-21 19:30:26.mp4,columpioscam2,7.917,11.917,Play_Object_Normal
trimmed_columpioscam2-2024-10-24_11_48_15_00-00-07_to_00-00-11_207.mp4,columpioscam2-2024-10-24 11:48:15.mp4,columpioscam2,6.75,10.75,Transit
trimmed_columpioscam3-2024-09-25_21_29_28_00-00-34_to_00-00-38_209.mp4,columpioscam3-2024-09-25 21:29:28.mp4,columpioscam3,33.583,37.583,Social_People
trimmed_columpioscam3-2024-09-25_21_29_28_00-00-34_to_00-00-38_209.mp4,columpioscam3-2024-09-25 21:29:28.mp4,columpioscam3,33.583,37.583,Social_People
trimmed_columpioscam2-2024-11-20_18_37_19_00-00-08_to_00-00-12_211.mp4,columpioscam2-2024-11-20 18:37:19.mp4,columpioscam2,7.5,11.5,Transit
